Empresa;Origem do Grão;Região de Origem do Grão;REF;Data de Revisão;Percentual de Cacau;Localização da Empresa;Avaliação;Tipo de Grão
Altus aka Cao Artisan;Villa Andina;Peru;1732;2016;60%;U.S.A.;2.5;
Altus aka Cao Artisan;Gruppo Salinas;Ecuador;1732;2016;60%;U.S.A.;2.75;
Altus aka Cao Artisan;Sur del Lago;Venezuela;1125;2013;60%;U.S.A.;2.5;
Altus aka Cao Artisan;Conacado;Dominican Republic;1125;2013;60%;U.S.A.;3;Trinitario
Altus aka Cao Artisan;Bolivia;Bolivia;1129;2013;80%;U.S.A.;3.25;
Altus aka Cao Artisan;Bolivia;Bolivia;1133;2013;60%;U.S.A.;3;
Altus aka Cao Artisan;Peru;Peru;1133;2013;60%;U.S.A.;3.25;
Amano;Morobe;Papua New Guinea;725;2011;70%;U.S.A.;4;
Amano;Dos Rios;Dominican Republic;470;2010;70%;U.S.A.;3.75;
Amano;Guayas;Ecuador;470;2010;70%;U.S.A.;4;
Amano;Chuao;Venezuela;544;2010;70%;U.S.A.;3;Trinitario
Amano;Montanya;Venezuela;363;2009;70%;U.S.A.;3;
Amano;Bali, Jembrana;Indonesia;304;2008;70%;U.S.A.;2.75;
Amano;Madagascar;Madagascar;129;2007;70%;U.S.A.;3.5;Trinitario
Amano;Cuyagua;Venezuela;147;2007;70%;U.S.A.;3;
Amano;Ocumare;Venezuela;175;2007;70%;U.S.A.;3.75;Criollo
Amatller (Simon Coll);Ghana;Ghana;322;2009;70%;Spain;3;Forastero
Amatller (Simon Coll);Ecuador;Ecuador;327;2009;70%;Spain;2.75;
Amatller (Simon Coll);Ecuador;Ecuador;464;2009;85%;Spain;2.75;
Amatller (Simon Coll);Ghana;Ghana;464;2009;85%;Spain;3;Forastero
Amazona;LamasdelChanka, San Martin, Oro Verde coop;Peru;1145;2013;72%;Peru;3.25;
Amazona;Bellavista Gran Pajeten, San Martin;Peru;1145;2013;73%;Peru;3.5;Trinitario
Ambrosia;Belize;Belize;1494;2015;64%;Canada;3;Trinitario
Ambrosia;Madagascar;Madagascar;1494;2015;66%;Canada;3.25;Trinitario
Ambrosia;Dominican Republic;Dominican Republic;1498;2015;75%;Canada;3.25;
Ambrosia;Papua New Guinea;Papua New Guinea;1498;2015;63%;Canada;3.25;
Ambrosia;Venezuela;Venezuela;1498;2015;70%;Canada;3.25;
Ambrosia;Peru;Peru;1498;2015;68%;Canada;3.5;
Amedei;Piura, Blanco de Criollo;Peru;979;2012;70%;Italy;3.75;
Amedei;Porcelana;Venezuela;111;2007;70%;Italy;4;Criollo (Porcelana)
Amedei;Nine;;111;2007;75%;Italy;4;Blend
Amedei;Chuao;Venezuela;111;2007;70%;Italy;5;Trinitario
Amedei;Ecuador;Ecuador;123;2007;70%;Italy;3;Trinitario
Amedei;Jamaica;Jamaica;123;2007;70%;Italy;3;Trinitario
Amedei;Grenada;Grenada;123;2007;70%;Italy;3.5;Trinitario
Amedei;Venezuela;Venezuela;123;2007;70%;Italy;3.75;Trinitario (85% Criollo)
Amedei;Madagascar;Madagascar;123;2007;70%;Italy;4;Trinitario (85% Criollo)
Amedei;Trinidad;Trinidad;129;2007;70%;Italy;3.5;Trinitario
Amedei;Toscano Black;;170;2007;63%;Italy;3.5;Blend
Amedei;Toscano Black;;40;2006;70%;Italy;5;Blend
Amedei;Toscano Black;;75;2006;66%;Italy;4;Blend
AMMA;Catongo;Brazil;1065;2013;75%;Brazil;3.25;Forastero (Catongo)
AMMA;Monte Alegre, 3 diff. plantations;Brazil;572;2010;85%;Brazil;2.75;Forastero (Parazinho)
AMMA;Monte Alegre, 3 diff. plantations;Brazil;572;2010;50%;Brazil;3.75;Forastero (Parazinho)
AMMA;Monte Alegre, 3 diff. plantations;Brazil;572;2010;75%;Brazil;3.75;Forastero (Parazinho)
AMMA;Monte Alegre, 3 diff. plantations;Brazil;572;2010;60%;Brazil;4;Forastero (Parazinho)
Anahata;Elvesia;Dominican Republic;1259;2014;75%;U.S.A.;3;
Animas;Alto Beni;Bolivia;1852;2016;75%;U.S.A.;3.5;
Ara;Madagascar;Madagascar;1375;2014;75%;France;3;Trinitario
Ara;Chiapas;Mexico;1379;2014;72%;France;2.5;
Ara;Equateur;Ecuador;1379;2014;75%;France;2.75;
Ara;Trincheras;Venezuela;1379;2014;75%;France;3;
Arete;San Juan;Trinidad;1724;2016;70%;U.S.A.;3.5;Trinitario
Arete;Kokoa Kamili;Tanzania;1724;2016;70%;U.S.A.;3.75;
Arete;Tien Giang;Vietnam;1900;2016;73%;U.S.A.;3.5;Trinitario
Arete;Hacienda Victoria;Ecuador;1904;2016;70%;U.S.A.;3.25;
Arete;Costa Esmeraldas;Ecuador;1904;2016;70%;U.S.A.;3.25;
Arete;Lachua;Guatemala;1904;2016;70%;U.S.A.;3.5;
Arete;Rugoso;Nicaragua;1904;2016;70%;U.S.A.;3.75;
Arete;La Masica, FHIA;Honduras;1908;2016;70%;U.S.A.;3.5;
Arete;Coto Brus, Terciopelo;Costa Rica;1908;2016;70%;U.S.A.;4;
Arete;Phantom;Peru;1924;2016;70%;U.S.A.;4;Forastero (Nacional)
Arete;Elvesia;Dominican Republic;1928;2016;70%;U.S.A.;3.75;
Arete;Matasawalevu;Fiji;1928;2016;70%;U.S.A.;3.25;
Arete;Lam Dong;Vietnam;1928;2016;73%;U.S.A.;3.25;
Arete;Fazenda Camboa;Brazil;1534;2015;70%;U.S.A.;3.5;
Arete;Nacional;Peru;1534;2015;68%;U.S.A.;3.5;Forastero (Nacional)
Arete;Puerto Quito, heirloom;Ecuador;1534;2015;70%;U.S.A.;3.75;Forastero (Nacional)
Arete;Oko Caribe;Domincan Republic;1598;2015;70%;U.S.A.;3.5;
Arete;Maya Mountain;Belize;1598;2015;70%;U.S.A.;3.75;Trinitario
Arete;Chuno;Nicaragua;1598;2015;70%;U.S.A.;4;Criollo, Trinitario
Arete;Fazenda Camboa;Brazil;1602;2015;75%;U.S.A.;2.75;
Arete;Guatemala;Guatemala;1602;2015;70%;U.S.A.;3.25;
Arete;Camino Verde;Ecuador;1602;2015;75%;U.S.A.;3.5;
Artisan du Chocolat;Trinidad, Heritage, Limited ed.;Trinidad;1193;2013;72%;U.K.;3.25;Trinitario
Artisan du Chocolat;Colombia, Casa Luker;Colombia;947;2012;72%;U.K.;3.75;
Artisan du Chocolat;Haiti;Haiti;729;2011;72%;U.K.;4;
Artisan du Chocolat;Panama;Panama;745;2011;72%;U.K.;2.75;
Artisan du Chocolat;Venezuela;Venezuela;486;2010;100%;U.K.;1.75;
Artisan du Chocolat;Jamaica;Jamaica;531;2010;72%;U.K.;3.75;Trinitario
Artisan du Chocolat;Costa Rica;Costa Rica;600;2010;72%;U.K.;3.25;
Artisan du Chocolat;Ba Ria Vung Tau Province;Vietnam;600;2010;72%;U.K.;3.25;Trinitario
Artisan du Chocolat;Bali;Indonesia;600;2010;72%;U.K.;3.5;
Artisan du Chocolat;Ocumare, Venezuela;Venezuela;355;2009;75%;U.K.;2.5;Criollo, Trinitario
Artisan du Chocolat;Java;Indonesia;355;2009;72%;U.K.;2.75;Trinitario
Artisan du Chocolat;Brazil Rio Doce;Brazil;363;2009;72%;U.K.;1.75;
Artisan du Chocolat;Madagascar;Madagascar;363;2009;80%;U.K.;3;Criollo, Trinitario
Artisan du Chocolat;Peru;Peru;363;2009;75%;U.K.;3;Criollo
Artisan du Chocolat;Dominican Republic;Dominican Republic;363;2009;72%;U.K.;3.25;Trinitario
Artisan du Chocolat;Congo;Congo;300;2008;72%;U.K.;3.75;Forastero
Artisan du Chocolat (Casa Luker);Orinoqua Region, Arauca;Colombia;1181;2013;72%;U.K.;2.75;Trinitario
Askinosie;Mababa;Tanzania;1780;2016;68%;U.S.A.;3.75;Trinitario
Askinosie;Tenende, Uwate;Tanzania;647;2011;72%;U.S.A.;3.75;Trinitario
Askinosie;Cortes;Honduras;661;2011;70%;U.S.A.;3.75;Trinitario
Askinosie;Davao;Philippines;331;2009;77%;U.S.A.;3.75;Trinitario
Askinosie;Xoconusco;Mexico;141;2007;75%;U.S.A.;2.5;Trinitario
Askinosie;San Jose del Tambo;Ecuador;175;2007;70%;U.S.A.;3;Forastero (Arriba)
Bahen & Co.;Houseblend;;1474;2015;80%;Australia;3.25;
Bahen & Co.;Papua New Guinea;Papua New Guinea;1474;2015;70%;Australia;3.5;
Bahen & Co.;Sambirano;Madagascar;995;2012;70%;Australia;3;Trinitario
Bahen & Co.;Bahia;Brazil;999;2012;70%;Australia;2.5;
Bahen & Co.;Houseblend;;999;2012;70%;Australia;2.5;Blend
Bakau;Bambamarca, 2015;Peru;1454;2015;70%;Peru;2.75;
Bakau;Huallabamba, 2015;Peru;1454;2015;70%;Peru;3.5;
Bar Au Chocolat;Bahia;Brazil;1554;2015;70%;U.S.A.;3.5;
Bar Au Chocolat;Maranon Canyon;Peru;1295;2014;70%;U.S.A.;4;Forastero (Nacional)
Bar Au Chocolat;Duarte Province;Dominican Republic;983;2012;70%;U.S.A.;3.25;
Bar Au Chocolat;Chiapas;Mexico;983;2012;70%;U.S.A.;3.5;
Bar Au Chocolat;Sambirano;Madagascar;983;2012;70%;U.S.A.;3.75;Trinitario
Baravelli's;single estate;Costa Rica;955;2012;80%;Wales;2.75;
Batch;Dominican Republic, Batch 3;Domincan Republic;1840;2016;65%;U.S.A.;3.5;
Batch;Brazil;Brazil;1868;2016;70%;U.S.A.;3.75;
Batch;Ecuador;Ecuador;1880;2016;65%;U.S.A.;3.25;
Beau Cacao;Asajaya E, NW Borneo, b. #132/4500;Malaysia;1948;2017;73%;U.K.;3;
Beau Cacao;Serian E., NW Borneo, b. #134/3800;Malaysia;1948;2017;72%;U.K.;3.25;
Beehive;Brazil, Batch 20316;Brazil;1784;2016;80%;U.S.A.;2.75;
Beehive;Dominican Republic, Batch 31616;Domincan Republic;1784;2016;70%;U.S.A.;2.75;
Beehive;Ecuador, Batch 31516;Ecuador;1784;2016;70%;U.S.A.;2.75;
Beehive;Ecuador;Ecuador;1788;2016;90%;U.S.A.;2.75;
Belcolade;Costa Rica;Costa Rica;586;2010;64%;Belgium;2.75;
Belcolade;Papua New Guinea;Papua New Guinea;586;2010;64%;Belgium;2.75;
Belcolade;Peru;Peru;586;2010;64%;Belgium;2.75;
Belcolade;Ecuador;Ecuador;586;2010;71%;Belgium;3.5;
Bellflower;Kakao Kamili, Kilombero Valley;Tanzania;1800;2016;70%;U.S.A.;3.5;Criollo, Trinitario
Bellflower;Alto Beni, Palos Blanco;Bolivia;1804;2016;70%;U.S.A.;3.25;
Bellflower;Oko Caribe, Duarte P.;Domincan Republic;1864;2016;70%;U.S.A.;3.5;
Belyzium;Belize south, low fermentation;Belize;1768;2016;83%;Germany;2.75;Trinitario
Belyzium;Belize south;Belize;1768;2016;78%;Germany;3;Trinitario
Belyzium;Belize south;Belize;1768;2016;83%;Germany;3.5;Trinitario
Benoit Nihant;Baracoa;Cuba;1141;2013;74%;Belgium;3.5;Trinitario
Benoit Nihant;Chuao;Venezuela;1141;2013;74%;Belgium;3.5;Criollo
Benoit Nihant;Cuyagua Village;Venezuela;1141;2013;74%;Belgium;3.5;Criollo
Benoit Nihant;Rio Peripa H.;Ecuador;1141;2013;73%;Belgium;4;Trinitario
Benoit Nihant;Bali, Sukrama Bros. Farm, Melaya, 62hr C;Indonesia;757;2011;72%;Belgium;4;Trinitario
Benoit Nihant;Somia Plantation, Sambirano, 70hr C;Madagascar;773;2011;72%;Belgium;3.75;Trinitario
Bernachon;Nature;;797;2012;55%;France;2.75;
Beschle (Felchlin);Madagascar;Madagascar;636;2011;64%;Switzerland;3;Trinitario
Beschle (Felchlin);Maracaibo;Venezuela;636;2011;88%;Switzerland;3;Criollo
Beschle (Felchlin);Indigena Amazonia, Grand Cru, Quizas;Venezuela;636;2011;72%;Switzerland;3.5;
Beschle (Felchlin);Ecuador;Ecuador;636;2011;72%;Switzerland;4;
Beschle (Felchlin);Carenero S., Barlovento, Grand Cru;Venezuela;508;2010;70%;Switzerland;3.25;Trinitario
Beschle (Felchlin);Porcelana, Premier Cru, Quizas No. 1;Venezuela;508;2010;74%;Switzerland;3.25;Criollo (Porcelana)
Beschle (Felchlin);Java, Grand Cru;Indonesia;508;2010;64%;Switzerland;3.5;
Beschle (Felchlin);Ocumare, Premier Cru, Quizas No. 2;Venezuela;508;2010;72%;Switzerland;3.5;
Bisou;Nicaragua, American style;Nicaragua;1482;2015;76%;U.S.A.;2.5;
Bisou;San Andres, American style;Costa Rica;1486;2015;76%;U.S.A.;2.5;
Bisou;San Andres, silk;Costa Rica;1486;2015;78%;U.S.A.;2.5;
Bisou;Belize;Belize;1486;2015;86%;U.S.A.;3.25;Trinitario
Bittersweet Origins;Ghana;Ghana;963;2012;72%;U.S.A.;3.5;Forastero
Bittersweet Origins;Bali, Singaraja;Indonesia;478;2010;75%;U.S.A.;3.25;
Bittersweet Origins;2009 Hapa Nibby;Dominican Rep., Bali;502;2010;70%;U.S.A.;3.75;Blend
Bittersweet Origins;Bali, Singaraja;Indonesia;558;2010;65%;U.S.A.;2.75;
Bittersweet Origins;Sambirano, 2009;Madagascar;565;2010;70%;U.S.A.;3;Trinitario
Bittersweet Origins;Ocumare, prototype;Venezuela;565;2010;78%;U.S.A.;3;Criollo
Bittersweet Origins;Puerto Plata;Dominican Republic;414;2009;75%;U.S.A.;3;
Bittersweet Origins;Puerto Plata;Dominican Republic;414;2009;65%;U.S.A.;3.5;
Bittersweet Origins;Sambirano;Madagascar;423;2009;75%;U.S.A.;3.25;Trinitario
Bittersweet Origins;Sambirano;Madagascar;431;2009;65%;U.S.A.;3.5;Trinitario
Bittersweet Origins;Sambirano;Madagascar;233;2008;71%;U.S.A.;3;Trinitario
Bittersweet Origins;Bocas del Toro;Panama;233;2008;75%;U.S.A.;3.5;
Bittersweet Origins;Puerto Plata;Dominican Republic;233;2008;68%;U.S.A.;3.75;
Bittersweet Origins;Ankasa;Ghana;256;2008;70%;U.S.A.;3;Forastero
Black Mountain;La Red;Dominican Republic;256;2008;70%;U.S.A.;2.75;
Black Mountain;Carenero Superior;Venezuela;256;2008;70%;U.S.A.;2.75;Trinitario
Black Mountain;Matiguas;Nicaragua;256;2008;70%;U.S.A.;3;
Black River (A. Morin);Blue Mountain Region;Jamaica;1331;2014;70%;U.K.;2.75;Trinitario
Blanxart;Congo, Grand Cru;Congo;1046;2013;82%;Spain;3.5;Forastero
Blanxart;Organic Dark;;322;2009;72%;Spain;2.75;
Blue Bandana;Akesson's E., Sambirano V.;Madagascar;1740;2016;82%;U.S.A.;3.5;Trinitario
Blue Bandana;Lachua;Guatemala;1752;2016;75%;U.S.A.;2.75;
Blue Bandana;Kokoa Kamili;Tanzania;1752;2016;75%;U.S.A.;3.5;
Blue Bandana;Zorzal Reserva;Dominican Republic;1756;2016;75%;U.S.A.;3;
Blue Bandana;Guatemala;Guatemala;911;2012;70%;U.S.A.;3.5;
Blue Bandana;Madagascar;Madagascar;911;2012;70%;U.S.A.;3.75;Trinitario
Bonnat;Selva Maya;Mexico;1912;2016;75%;France;3.5;
Bonnat;Kaori;Brazil;1339;2014;75%;France;4;
Bonnat;Los Colorados, Santo Domingo, Equateur;Dominican Republic;1418;2014;75%;France;3.25;
Bonnat;Surfin;Venez,Africa,Brasil,Peru,Mex;1418;2014;65%;France;3.75;
Bonnat;Maragnam;Brazil;1038;2013;75%;France;3.5;
Bonnat;Gabon;Gabon;1042;2013;75%;France;3.25;
Bonnat;Cuba;Cuba;629;2011;75%;France;3.5;Trinitario
Bonnat;Cusco, Cacao Cusco;Peru;629;2011;75%;France;3.5;
Bonnat;Piura Blanco;Peru;629;2011;75%;France;3.5;Forastero (Nacional)
Bonnat;Libanio;Brazil;629;2011;75%;France;3.75;
Bonnat;Haiti;Haiti;629;2011;75%;France;4;
Bonnat;Madagascar, 100% criollo;Madagascar;629;2011;75%;France;4;Criollo
Bonnat;Juliana;Brazil;672;2011;75%;France;3.5;
Bonnat;Jamaique;Jamaica;761;2011;75%;France;3.25;Trinitario
Bonnat;Ivory Coast;Ivory Coast;331;2009;75%;France;3;
Bonnat;Porcelana, Apotequil;Peru;336;2009;75%;France;2.75;Criollo
Bonnat;Porcelana, Tabasco, Marfil de Blanco;Mexico;336;2009;75%;France;3;Criollo
Bonnat;Xoconusco, cacao Real;Mexico;395;2009;75%;France;3;Criollo
Bonnat;Porcelana, Venezuela;Venezuela;199;2008;75%;France;4;Criollo (Porcelana)
Bonnat;Equateur;Ecuador;123;2007;75%;France;2.5;Forastero (Arriba)
Bonnat;Trinite;Carribean;24;2006;75%;France;3.75;Trinitario
Bonnat;Ocumare, Puerto Cabello;Venezuela;32;2006;75%;France;4;
Bonnat;Maracaibo, El Rosario;Venezuela;48;2006;75%;France;4;Criollo
Bonnat;Madagascar;Madagascar;75;2006;75%;France;4;Trinitario
Bonnat;One Hundred;;81;2006;100%;France;1.5;
Bonnat;Ceylan;Sri Lanka;81;2006;75%;France;3;
Bonnat;Chuao;Venezuela;81;2006;75%;France;4;Trinitario
Bouga Cacao (Tulicorp);El Oro, Hacienda de Oro;Ecuador;316;2009;77%;Ecuador;3.25;Forastero (Arriba)
Bouga Cacao (Tulicorp);El Oro, Hacienda de Oro;Ecuador;341;2009;100%;Ecuador;1.5;Forastero (Arriba)
Bowler Man;Maya Mountain;Belize;1267;2014;70%;U.S.A.;2.75;Trinitario
Bowler Man;Conacado;Dominican Republic;1271;2014;70%;U.S.A.;2.75;
Brasstown aka It's Chocolate;Guasare, Zulia Prov.;Venezuela;1868;2016;70%;U.S.A.;3.5;Criollo
Brasstown aka It's Chocolate;O'payo, Waslala;Nicaragua;1868;2016;70%;U.S.A.;3.75;
Brasstown aka It's Chocolate;Conacado;Dominican Republic;1462;2015;68%;U.S.A.;3.75;
Brasstown aka It's Chocolate;Maya Mountain;Belize;1255;2014;70%;U.S.A.;3.75;Trinitario
Brasstown aka It's Chocolate;Chuao;Venezuela;1355;2014;70%;U.S.A.;4;Trinitario
Brasstown aka It's Chocolate;Cooproagro;Dominican Republic;1125;2013;72%;U.S.A.;3;Trinitario
Brasstown aka It's Chocolate;Camino Verde, Guayas;Ecuador;1125;2013;70%;U.S.A.;3.25;
Brasstown aka It's Chocolate;Ghana;Ghana;1129;2013;75%;U.S.A.;3.5;Forastero
Brasstown aka It's Chocolate;Chuao, Mantuano blend;Venezuela;1129;2013;85%;U.S.A.;3.5;Trinitario
Brazen;Elvesia P.;Dominican Republic;1514;2015;60%;U.S.A.;3;
Brazen;Elvesia P.;Dominican Republic;1514;2015;80%;U.S.A.;3.25;
Brazen;Alta Verapaz, 2014;Guatemala;1514;2015;70%;U.S.A.;3.5;
Brazen;Ambolikapiky P.;Madagascar;1518;2015;80%;U.S.A.;2.75;
Brazen;Maya Mountain;Belize;1518;2015;80%;U.S.A.;3.25;Trinitario
Brazen;Ambolikapkly P.;Madagascar;1518;2015;60%;U.S.A.;3.25;
Breeze Mill;Jamaica;Jamaica;1149;2013;70%;U.S.A.;3;Trinitario
Bright;Somia Plantation;Madagascar;1231;2014;72%;Australia;3;Trinitario
Bright;Marabel Farms;Dominican Republic;1231;2014;70%;Australia;3.5;
Bright;Camino Verde, Balao, Guayas;Ecuador;1231;2014;72%;Australia;3.5;
Bright;Gran Couva;Trinidad;1235;2014;68%;Australia;2.75;Trinitario
Britarev;Ecuador;Ecuador;1638;2015;70%;Russia;3.25;
Bronx Grrl Chocolate;Dominican Republic;Dominican Republic;1181;2013;68%;U.S.A.;2.75;
Burnt Fork Bend;Trinidad;Trinidad;1299;2014;72%;U.S.A.;3.25;Trinitario
Burnt Fork Bend;Mindo;Ecuador;1299;2014;72%;U.S.A.;3.5;
Burnt Fork Bend;Belize;Belize;1303;2014;72%;U.S.A.;3.25;Trinitario
Burnt Fork Bend;Blend;;1303;2014;72%;U.S.A.;3.25;Blend
Burnt Fork Bend;Ecuador, Bob Bar;Ecuador;1323;2014;60%;U.S.A.;2.5;
Cacao Arabuco;Puerto Rico;Puerto Rico;1606;2015;70%;Puerto Rico;2.5;
Cacao Atlanta;Tumbes;Peru;1215;2014;75%;U.S.A.;2.5;Criollo
Cacao Atlanta;"Dominican Republic, ""Love Bar""";Dominican Republic;502;2010;75%;U.S.A.;2.5;
Cacao Atlanta;Dominican Republic w/ nibs;Dominican Republic;502;2010;75%;U.S.A.;2.75;
Cacao Atlanta;Patanemo;Venezuela;600;2010;75%;U.S.A.;2.25;
Cacao Barry;Grand 'Anse;Haiti;1716;2016;65%;France;3.5;Trinitario, Criollo
Cacao Barry;Santo Domingo;Dominican Republic;586;2010;70%;France;3;
Cacao Barry;Tanzania;Tanzania;300;2008;75%;France;2;
Cacao Barry;Venezuela;Venezuela;141;2007;72%;France;2;
Cacao Barry;Mexico;Mexico;147;2007;66%;France;3;
Cacao de Origen;Chuao;Venezuela;1688;2015;77%;Venezuela;3.5;Trinitario
Cacao de Origen;Rio Caribe;Venezuela;1692;2015;75%;Venezuela;3.25;Trinitario
Cacao de Origen;Chuao, Aragua region;Venezuela;1391;2014;75%;Venezuela;3.5;Trinitario
Cacao de Origen;Chuao, Aragua region;Venezuela;1395;2014;70%;Venezuela;3.75;Trinitario
Cacao de Origin;Hacienda la Trinidad;Venezuela;1668;2015;74%;Venezuela;3.25;
Cacao Hunters;Macondo;Colombia;1816;2016;71%;Colombia;3.75;
Cacao Hunters;Perla Negra;Colombia;1816;2016;74%;Colombia;3.75;
Cacao Hunters;Arhuacos;Colombia;1662;2015;72%;Colombia;3.75;
Cacao Hunters;Sierra Nevada;Colombia;1430;2014;64%;Colombia;3.5;
Cacao Hunters;Tumaco;Colombia;1430;2014;70%;Colombia;3.5;
Cacao Hunters;Boyaca, Aprocampa Coop, Pauna;Colombia;1434;2014;69%;Colombia;2.75;
Cacao Hunters;Arauca;Colombia;1434;2014;70%;Colombia;3.25;
Cacao Market;Jutiapa, lot 050916D;Honduras;1860;2016;70%;U.S.A.;3.5;Trinitario
Cacao Prieto;Criollo, Dominican Republic;Dominican Republic;991;2012;72%;U.S.A.;3.75;Criollo
Cacao Prieto;Dominican Republicm, rustic;Dominican Republic;641;2011;72%;U.S.A.;3;
Cacao Prieto;Dominican Republic;Dominican Republic;641;2011;66%;U.S.A.;3.75;
Cacao Prieto;Dominican Republic, rustic;Dominican Republic;647;2011;65%;U.S.A.;3.25;
Cacao Sampaka;Mahali, Kasai;Congo;1908;2016;70%;Spain;3.5;Criollo
Cacao Sampaka;Madagascar;Madagascar;508;2010;71%;Spain;3.5;Trinitario
Cacao Sampaka;Ecuador;Ecuador;523;2010;71%;Spain;3.75;
Cacao Sampaka;Papua;Papua New Guinea;523;2010;71%;Spain;4;
Cacao Sampaka;Grenada;Grenada;537;2010;71%;Spain;3.25;Trinitario
Cacao Sampaka;Venezuela;Venezuela;537;2010;71%;Spain;3.5;
Cacao Sampaka;Venezuela;Venezuela;537;2010;77%;Spain;3.5;
Cacao Sampaka;Porcelana, Tabasco, La Joya;Mexico;336;2009;70%;Spain;4;Criollo
Cacao Sampaka;Xoconusco, Chiapas;Mexico;346;2009;70%;Spain;4;Criollo
Cacao Store;Madagascar;Madagascar;1684;2015;70%;Japan;3;Trinitario
Cacao Store;Peru;Peru;1684;2015;70%;Japan;3.25;
Cacao Store;Vietnam;Vietnam;1684;2015;70%;Japan;3.5;Trinitario
Cacaosuyo (Theobroma Inversiones);Piura;Peru;1173;2013;70%;Peru;3.25;
Cacaoyere (Ecuatoriana);Amazonia;Ecuador;237;2008;63%;Ecuador;3.5;Forastero (Arriba)
Cacaoyere (Ecuatoriana);Esmeraldas;Ecuador;237;2008;71%;Ecuador;3.5;Forastero (Arriba)
Cacaoyere (Ecuatoriana);Bolivar;Ecuador;245;2008;82%;Ecuador;2.5;Forastero (Arriba)
